EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults5
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.AdaptivePolicy.W
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Slots.slotRound
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults.f
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.AdaptivePolicy
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Slots
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults5.toFaults
NODE	LeanDag.card_filter_not_correct_le._simp_1_2	LeanDag.DoS.Novelty	thm
NODE	LeanDag.decidablePopulatedOn	LeanDag.DoS.Exclusion	def
EDGE	LeanDag.decidablePopulatedOn	LeanDag.decidablePopulatedOn._aux_1
EDGE	LeanDag.decidablePopulatedOn	LeanDag.Faults
EDGE	LeanDag.decidablePopulatedOn	LeanDag.PopulatedOn
EDGE	LeanDag.decidablePopulatedOn	LeanDag.BlockUniverse
NODE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing	thm
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Faults
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing.built
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing.timeout
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing.delay
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.BlockUniverse
EDGE	LeanDag.Timing.driftFrom_of_prompt._proof_1_5	LeanDag.Timing.latest
NODE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.Unbounded	thm
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ugapGrowth._simp_11
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ustarvePace._proof_4
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.Uomit
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ugapGrowth._simp_7
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ugapGrowth._simp_1
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDag.BlockUniverse.ids
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDag.Block.refs
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDag.BlockUniverse.block
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.mem_T12_bounds
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDag.Block.round
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ugapGrowth._proof_13
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.starveHolds
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.instFaultsFinOfNatNat_leanDagTest
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.ustarvePace._proof_3
EDGE	LeanDagTest.ustarvePace._proof_11	LeanDag.Block.creator
NODE	LeanDag.ViewPace.gst	LeanDag.ViewPace	def
EDGE	LeanDag.ViewPace.gst	LeanDag.Faults
EDGE	LeanDag.ViewPace.gst	LeanDag.BlockUniverse
EDGE	LeanDag.ViewPace.gst	LeanDag.ViewPace
NODE	LeanDag.decidableIsLeaderBlock	LeanDag.Mysticeti	def
EDGE	LeanDag.decidableIsLeaderBlock	LeanDag.Faults
EDGE	LeanDag.decidableIsLeaderBlock	LeanDag.BlockUniverse
EDGE	LeanDag.decidableIsLeaderBlock	LeanDag.IsLeaderBlock
EDGE	LeanDag.decidableIsLeaderBlock	LeanDag.Slots
EDGE	LeanDag.decidableIsLeaderBlock	LeanDag.decidableIsLeaderBlock._aux_1
